,subgenre_level,class1,class2,data_repetition,idno,y_true,y_0,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9
0,subgenre-theme,novela histórica,other,0,nh0003,other,other,other,other,other,other,other,other,other,other,other
1,subgenre-theme,novela histórica,other,0,nh0004,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica
2,subgenre-theme,novela histórica,other,0,nh0007,novela histórica,other,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica
3,subgenre-theme,novela histórica,other,0,nh0009,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica
4,subgenre-theme,novela histórica,other,0,nh0010,other,other,other,other,other,other,other,other,other,other,other
5,subgenre-theme,novela histórica,other,0,nh0011,other,other,other,other,other,other,other,other,other,other,other
6,subgenre-theme,novela histórica,other,0,nh0015,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica
7,subgenre-theme,novela histórica,other,0,nh0017,novela histórica,other,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica
8,subgenre-theme,novela histórica,other,0,nh0020,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica
9,subgenre-theme,novela histórica,other,0,nh0022,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica
10,subgenre-theme,novela histórica,other,0,nh0025,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica
11,subgenre-theme,novela histórica,other,0,nh0026,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica
12,subgenre-theme,novela histórica,other,0,nh0028,other,novela histórica,other,other,other,other,other,other,other,other,other
13,subgenre-theme,novela histórica,other,0,nh0031,other,other,other,other,other,other,other,other,other,other,other
14,subgenre-theme,novela histórica,other,0,nh0034,other,other,other,other,other,other,other,other,other,other,other
15,subgenre-theme,novela histórica,other,0,nh0035,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica
16,subgenre-theme,novela histórica,other,0,nh0036,other,other,other,other,other,other,other,other,other,other,other
17,subgenre-theme,novela histórica,other,0,nh0037,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica
18,subgenre-theme,novela histórica,other,0,nh0039,other,other,other,other,other,other,other,other,other,other,other
19,subgenre-theme,novela histórica,other,0,nh0040,novela histórica,novela histórica,other,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica
20,subgenre-theme,novela histórica,other,0,nh0041,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica
21,subgenre-theme,novela histórica,other,0,nh0042,other,other,other,other,other,other,other,other,other,other,other
22,subgenre-theme,novela histórica,other,0,nh0043,other,other,other,other,other,other,other,other,other,other,other
23,subgenre-theme,novela histórica,other,0,nh0044,other,other,other,other,other,other,other,other,other,other,other
24,subgenre-theme,novela histórica,other,0,nh0045,other,other,novela histórica,other,other,other,other,other,other,other,other
25,subgenre-theme,novela histórica,other,0,nh0047,other,other,other,other,other,other,other,other,other,other,other
26,subgenre-theme,novela histórica,other,0,nh0048,other,other,other,other,other,other,other,other,other,other,other
27,subgenre-theme,novela histórica,other,0,nh0049,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica
28,subgenre-theme,novela histórica,other,0,nh0050,other,other,other,other,other,other,other,other,other,other,other
29,subgenre-theme,novela histórica,other,0,nh0052,other,other,other,other,other,other,other,other,other,other,other
30,subgenre-theme,novela histórica,other,0,nh0054,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica
31,subgenre-theme,novela histórica,other,0,nh0055,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica
32,subgenre-theme,novela histórica,other,0,nh0056,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica
33,subgenre-theme,novela histórica,other,0,nh0058,other,other,other,other,other,other,other,other,other,other,other
34,subgenre-theme,novela histórica,other,0,nh0063,other,other,other,other,other,other,other,other,other,other,other
35,subgenre-theme,novela histórica,other,0,nh0064,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica
36,subgenre-theme,novela histórica,other,0,nh0067,other,other,other,other,other,other,other,other,other,other,other
37,subgenre-theme,novela histórica,other,0,nh0069,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica
38,subgenre-theme,novela histórica,other,0,nh0070,other,other,other,other,other,other,other,other,other,other,other
39,subgenre-theme,novela histórica,other,0,nh0072,other,other,other,novela histórica,other,other,other,other,other,other,other
40,subgenre-theme,novela histórica,other,0,nh0078,other,other,other,other,other,other,other,other,other,other,other
41,subgenre-theme,novela histórica,other,0,nh0079,other,other,other,other,other,other,other,other,other,other,other
42,subgenre-theme,novela histórica,other,0,nh0080,other,other,other,other,other,other,other,other,other,other,other
43,subgenre-theme,novela histórica,other,0,nh0081,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica
44,subgenre-theme,novela histórica,other,0,nh0084,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica
45,subgenre-theme,novela histórica,other,0,nh0085,other,other,other,other,novela histórica,other,other,other,other,other,other
46,subgenre-theme,novela histórica,other,0,nh0086,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica
47,subgenre-theme,novela histórica,other,0,nh0088,other,other,other,other,other,other,other,other,other,other,other
48,subgenre-theme,novela histórica,other,0,nh0089,other,other,other,other,other,other,other,other,other,other,other
49,subgenre-theme,novela histórica,other,0,nh0090,other,other,other,other,novela histórica,other,other,other,other,other,other
50,subgenre-theme,novela histórica,other,0,nh0091,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica
51,subgenre-theme,novela histórica,other,0,nh0092,other,other,other,other,other,other,other,other,other,other,other
52,subgenre-theme,novela histórica,other,0,nh0094,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica
53,subgenre-theme,novela histórica,other,0,nh0096,other,other,other,other,other,other,other,other,other,other,other
