,mean_fit_time,mean_score_time,mean_test_score,param_C,params,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,std_fit_time,std_score_time,std_test_score,subgenre_level,class1,class2,repetition
0,0.007458400726318359,0.0010603904724121095,0.7027472527472528,1,{'C': 1},1,0.6428571428571429,0.7142857142857143,0.6428571428571429,0.6428571428571429,0.6153846153846154,0.6153846153846154,0.9230769230769231,0.6153846153846154,0.6923076923076923,0.9230769230769231,0.00018159001409637207,4.556255774098956e-05,0.11445069452861506,subgenre-theme,novela histórica,other,0
1,0.007458353042602539,0.0010507583618164062,0.7027472527472528,10,{'C': 10},1,0.6428571428571429,0.7142857142857143,0.6428571428571429,0.6428571428571429,0.6153846153846154,0.6153846153846154,0.9230769230769231,0.6153846153846154,0.6923076923076923,0.9230769230769231,0.0001483663396894645,2.659533334688723e-05,0.11445069452861506,subgenre-theme,novela histórica,other,0
2,0.007482075691223144,0.0010613679885864257,0.7027472527472528,100,{'C': 100},1,0.6428571428571429,0.7142857142857143,0.6428571428571429,0.6428571428571429,0.6153846153846154,0.6153846153846154,0.9230769230769231,0.6153846153846154,0.6923076923076923,0.9230769230769231,0.00013304220083842466,1.3297281945669124e-05,0.11445069452861506,subgenre-theme,novela histórica,other,0
3,0.007503104209899902,0.0010635137557983398,0.7027472527472528,1000,{'C': 1000},1,0.6428571428571429,0.7142857142857143,0.6428571428571429,0.6428571428571429,0.6153846153846154,0.6153846153846154,0.9230769230769231,0.6153846153846154,0.6923076923076923,0.9230769230769231,0.00014222754575259256,1.8769781827440204e-05,0.11445069452861506,subgenre-theme,novela histórica,other,0
0,0.007919502258300782,0.0011787652969360352,0.7543956043956044,1,{'C': 1},1,0.7142857142857143,0.8571428571428571,0.7857142857142857,0.5714285714285714,0.6923076923076923,0.8461538461538461,0.7692307692307693,0.8461538461538461,0.6923076923076923,0.7692307692307693,0.00015739584193823387,0.00014257771709607614,0.08462430379708258,subgenre-theme,novela histórica,other,1
1,0.007847070693969727,0.00111541748046875,0.7543956043956044,10,{'C': 10},1,0.7142857142857143,0.8571428571428571,0.7857142857142857,0.5714285714285714,0.6923076923076923,0.8461538461538461,0.7692307692307693,0.8461538461538461,0.6923076923076923,0.7692307692307693,0.0001121681754923548,3.172529882371111e-05,0.08462430379708258,subgenre-theme,novela histórica,other,1
2,0.007831072807312012,0.0011068344116210937,0.7543956043956044,100,{'C': 100},1,0.7142857142857143,0.8571428571428571,0.7857142857142857,0.5714285714285714,0.6923076923076923,0.8461538461538461,0.7692307692307693,0.8461538461538461,0.6923076923076923,0.7692307692307693,0.00010343115951015147,2.6030286716776402e-05,0.08462430379708258,subgenre-theme,novela histórica,other,1
3,0.00784628391265869,0.0011144161224365234,0.7543956043956044,1000,{'C': 1000},1,0.7142857142857143,0.8571428571428571,0.7857142857142857,0.5714285714285714,0.6923076923076923,0.8461538461538461,0.7692307692307693,0.8461538461538461,0.6923076923076923,0.7692307692307693,0.0001093745355060373,3.255278957862445e-05,0.08462430379708258,subgenre-theme,novela histórica,other,1
0,0.007785511016845703,0.0011079788208007812,0.6961538461538461,1,{'C': 1},4,0.6428571428571429,0.6428571428571429,0.5714285714285714,0.6428571428571429,0.6153846153846154,0.7692307692307693,0.9230769230769231,0.7692307692307693,0.8461538461538461,0.5384615384615384,0.00011751089442492779,2.097536145685932e-05,0.11838205043822403,subgenre-theme,novela histórica,other,2
1,0.007846689224243164,0.0011182785034179687,0.6967032967032967,10,{'C': 10},1,0.5714285714285714,0.6428571428571429,0.5714285714285714,0.6428571428571429,0.6923076923076923,0.7692307692307693,0.9230769230769231,0.7692307692307693,0.8461538461538461,0.5384615384615384,0.0001427926748394061,2.591516735221729e-05,0.12097398874711571,subgenre-theme,novela histórica,other,2
2,0.007829952239990234,0.0011110305786132812,0.6967032967032967,100,{'C': 100},1,0.5714285714285714,0.6428571428571429,0.5714285714285714,0.6428571428571429,0.6923076923076923,0.7692307692307693,0.9230769230769231,0.7692307692307693,0.8461538461538461,0.5384615384615384,0.00012456693357092198,2.3239636212305673e-05,0.12097398874711571,subgenre-theme,novela histórica,other,2
3,0.007898545265197754,0.001138782501220703,0.6967032967032967,1000,{'C': 1000},1,0.5714285714285714,0.6428571428571429,0.5714285714285714,0.6428571428571429,0.6923076923076923,0.7692307692307693,0.9230769230769231,0.7692307692307693,0.8461538461538461,0.5384615384615384,0.0001797431469395681,8.057815755500122e-05,0.12097398874711571,subgenre-theme,novela histórica,other,2
0,0.00784304141998291,0.0011219501495361329,0.7554945054945055,1,{'C': 1},1,0.6428571428571429,0.5714285714285714,0.7142857142857143,0.8571428571428571,0.8461538461538461,0.6923076923076923,0.8461538461538461,0.8461538461538461,0.6153846153846154,0.9230769230769231,7.746244584897838e-05,3.2679317216992e-05,0.1161733897704719,subgenre-theme,novela histórica,other,3
1,0.007817459106445313,0.0011096477508544921,0.7554945054945055,10,{'C': 10},1,0.6428571428571429,0.5714285714285714,0.7142857142857143,0.8571428571428571,0.8461538461538461,0.6923076923076923,0.8461538461538461,0.8461538461538461,0.6153846153846154,0.9230769230769231,0.00011741314052237406,2.0946072911133154e-05,0.1161733897704719,subgenre-theme,novela histórica,other,3
2,0.007817697525024415,0.0011155128479003907,0.7554945054945055,100,{'C': 100},1,0.6428571428571429,0.5714285714285714,0.7142857142857143,0.8571428571428571,0.8461538461538461,0.6923076923076923,0.8461538461538461,0.8461538461538461,0.6153846153846154,0.9230769230769231,9.940932917252257e-05,3.367189568261523e-05,0.1161733897704719,subgenre-theme,novela histórica,other,3
3,0.0078263521194458,0.0011162042617797851,0.7554945054945055,1000,{'C': 1000},1,0.6428571428571429,0.5714285714285714,0.7142857142857143,0.8571428571428571,0.8461538461538461,0.6923076923076923,0.8461538461538461,0.8461538461538461,0.6153846153846154,0.9230769230769231,0.00012815469688806538,1.9635633676641993e-05,0.1161733897704719,subgenre-theme,novela histórica,other,3
0,0.008008527755737304,0.0011493921279907226,0.7318681318681319,1,{'C': 1},1,0.5714285714285714,1.0,0.6428571428571429,0.6428571428571429,0.6923076923076923,0.7692307692307693,0.9230769230769231,0.7692307692307693,0.6923076923076923,0.6153846153846154,0.0004409308174149411,5.217429313718958e-05,0.1302047100288852,subgenre-theme,novela histórica,other,4
1,0.007852911949157715,0.0011175870895385742,0.7236263736263737,10,{'C': 10},2,0.5714285714285714,1.0,0.7142857142857143,0.6428571428571429,0.6923076923076923,0.7692307692307693,0.8461538461538461,0.6923076923076923,0.6923076923076923,0.6153846153846154,0.00015110198556799145,2.2433211941883145e-05,0.1174346920432906,subgenre-theme,novela histórica,other,4
2,0.007875990867614747,0.0011268377304077149,0.7236263736263737,100,{'C': 100},2,0.5714285714285714,1.0,0.7142857142857143,0.6428571428571429,0.6923076923076923,0.7692307692307693,0.8461538461538461,0.6923076923076923,0.6923076923076923,0.6153846153846154,0.00016097114417886458,1.9090778737446654e-05,0.1174346920432906,subgenre-theme,novela histórica,other,4
