idno,author-short,title-short,year,country,narrative-perspective,subgenre-theme,subgenre-current,subgenre-novela,tokens
nh0004,PayroR,Inca,1905,Argentina,heterodiegetic,novela histórica,unknown,none,21997
nh0007,AltamiranoIM,Zarco,1901,Mexico,heterodiegetic,novela histórica,novela romántica,none,50965
nh0008,RivarolaEE,AmarVuelo,1884,Argentina,heterodiegetic,other,novela realista,none,41611
nh0009,GutierrezE,Rastreador,1886,Argentina,heterodiegetic,novela histórica,novela romántica,none,88720
nh0011,CambaceresE,Rumbo,1885,Argentina,heterodiegetic,other,novela naturalista,none,33544
nh0012,CambaceresE,Sangre,1887,Argentina,heterodiegetic,other,novela naturalista,none,40924
nh0014,AuberNoyaVF,Leoncio,1844,Cuba,heterodiegetic,other,unknown,none,40255
nh0015,SaladoAlvarezV,Puebla,1903,Mexico,heterodiegetic,novela histórica,novela realista,none,90242
nh0017,MarmolJ,Amalia,1855,Argentina,heterodiegetic,novela histórica,novela romántica,novela,231376
nh0020,CalcagnoF,SY,1895,Cuba,heterodiegetic,novela histórica,unknown,novela,26580
nh0022,FriasH,Tomochic,1894,Mexico,heterodiegetic,novela histórica,novela naturalista,novela,61881
nh0024,MansillaE,Medico,1860,Argentina,autodiegetic,other,novela romántica,novela,41080
nh0025,MansillaE,Miranda,1860,Argentina,heterodiegetic,novela histórica,novela romántica,novela,71994
nh0026,AnconaE,Cruz,1866,Mexico,heterodiegetic,novela histórica,novela romántica,novela,102735
nh0029,SicardiF,Extrano,1894,Argentina,heterodiegetic,other,novela naturalista,none,99767
nh0033,SicardiF,Justicia,1902,Argentina,heterodiegetic,other,novela naturalista,none,66652
nh0034,CambaceresE,Musica,1884,Argentina,homodiegetic,other,novela naturalista,none,40754
nh0035,LopezVF,NoviaDelHereje,1855,Argentina,heterodiegetic,novela histórica,novela romántica,none,140319
nh0036,LopezPortilloJ,Parcela,1898,Mexico,heterodiegetic,other,novela realista,novela,90800
nh0037,LopezVF,Loca,1896,Argentina,homodiegetic,novela histórica,novela romántica,none,100022
nh0039,CantiloJL,Quimera,1899,Argentina,heterodiegetic,other,novela naturalista,none,36161
nh0040,GutierrezJM,CapitanPatricios,1864,Argentina,heterodiegetic,novela histórica,novela romántica,none,16253
nh0041,GorritiJM,Yocci,1876,Argentina,heterodiegetic,novela histórica,novela romántica,none,19643
nh0048,OcantosCM,Perfecto,1902,Argentina,autodiegetic,other,novela realista,novela,64894
nh0049,RivaPalacioV,Garatuza,1868,Mexico,heterodiegetic,novela histórica,novela romántica,novela,136380
nh0054,GutierrezE,Chacho,1884,Argentina,heterodiegetic,novela histórica,novela romántica,none,144155
nh0055,GutierrezE,Montoneros,1886,Argentina,heterodiegetic,novela histórica,novela romántica,none,82313
nh0056,GutierrezE,MuerteHeroe,1886,Argentina,heterodiegetic,novela histórica,novela romántica,none,104443
nh0061,EchagueP,Chapanay,1884,Argentina,heterodiegetic,other,novela romántica,none,26780
