idno,author-short,title-short,year,country,narrative-perspective,subgenre-theme,subgenre-current,subgenre-novela,tokens
nh0001,VillaverdeC,Guajiro,1842,Cuba,heterodiegetic,other,novela romántica,none,36461
nh0003,AltamiranoIM,Antonia,1872,Mexico,autodiegetic,novela sentimental,novela romántica,none,18017
nh0006,AltamiranoIM,Clemencia,1869,Mexico,homodiegetic,novela sentimental,novela romántica,none,50806
nh0013,MezaR,Carmela,1887,Cuba,heterodiegetic,novela sentimental,novela naturalista,none,50455
nh0014,AuberNoyaVF,Leoncio,1844,Cuba,heterodiegetic,novela sentimental,unknown,none,40255
nh0017,MarmolJ,Amalia,1855,Argentina,heterodiegetic,other,novela romántica,novela,231376
nh0018,IglesiaA,Adoracion,1894,Cuba,autodiegetic,novela sentimental,unknown,novela,44670
nh0020,CalcagnoF,SY,1895,Cuba,heterodiegetic,other,unknown,novela,26580
nh0021,OcantosCM,CruzFalta,1883,Argentina,heterodiegetic,novela sentimental,novela romántica,none,39814
nh0024,MansillaE,Medico,1860,Argentina,autodiegetic,other,novela romántica,novela,41080
nh0034,CambaceresE,Musica,1884,Argentina,homodiegetic,novela sentimental,novela naturalista,none,40754
nh0038,ArgerichJA,Inocentes,1884,Argentina,heterodiegetic,other,novela naturalista,novela,76569
nh0042,AlvarezJS,Austral,1897,Argentina,autodiegetic,other,unknown,none,62521
nh0043,GorritiJM,JuezVerdugo,1876,Argentina,heterodiegetic,novela sentimental,novela romántica,none,19791
nh0045,MachaliR,EmiliaCoquetismo,1862,Argentina,heterodiegetic,novela sentimental,novela romántica,none,39646
nh0047,OcantosCM,Quilito,1891,Argentina,heterodiegetic,other,novela realista,none,83234
nh0049,RivaPalacioV,Garatuza,1868,Mexico,heterodiegetic,other,novela romántica,novela,136380
nh0052,DelgadoR,ParientesRicos,1901,Mexico,heterodiegetic,other,novela realista,none,105418
nh0060,MiroJM,Bolsa,1891,Argentina,heterodiegetic,other,novela naturalista,none,59537
nh0062,CantiloJM,Quillango,1880,Argentina,heterodiegetic,other,novela realista,none,17162
nh0063,ZayasGuarnerosP,Herencias,1899,Mexico,heterodiegetic,other,novela romántica,novela,95614
nh0067,FriasH,UltimoDuelo,1896,Mexico,heterodiegetic,other,novela realista,novela,51837
nh0068,DelgadoR,Calandria,1890,Mexico,heterodiegetic,novela sentimental,novela realista,novela,89456
nh0069,MateosJA,CerroCampanas,1868,Mexico,heterodiegetic,other,novela romántica,novela,213844
nh0070,MezaR,DonAniceto,1889,Cuba,heterodiegetic,other,unknown,novela,41914
nh0072,BarredaR,MisteriosCorazon,1875,Argentina,heterodiegetic,novela sentimental,novela romántica,none,82395
nh0076,HerediaN,Leonela,1893,Cuba,heterodiegetic,novela sentimental,novela naturalista,none,84295
nh0079,AlvarezJS,MemoriasVigilante,1897,Argentina,autodiegetic,other,unknown,none,21866
nh0080,GamboaF,Santa,1903,Mexico,heterodiegetic,other,novela naturalista,none,98005
nh0082,PodestaMT,AlmaNina,1892,Argentina,heterodiegetic,novela sentimental,novela romántica,none,35006
nh0087,CaneMI,Esther,1858,Argentina,heterodiegetic,novela sentimental,novela romántica,novela,17724
nh0088,MoranteP,Grandezas,1896,Argentina,heterodiegetic,other,novela naturalista,novela,56661
nh0089,DelgadoR,Angelina,1893,Mexico,autodiegetic,novela sentimental,novela realista,novela,89231
nh0092,RiveraYRioJ,VirgenNiagara,1871,Mexico,heterodiegetic,novela sentimental,novela romántica,novela,115995
nh0093,EstradaS,Pampa,1866,Argentina,heterodiegetic,other,unknown,none,22668
nh0096,MitreB,Soledad,1847,Argentina,heterodiegetic,novela sentimental,novela romántica,novela,20992
nh0098,RosasdeRiveraM,MariaMontiel,1861,Argentina,heterodiegetic,novela sentimental,novela romántica,novela,100570
nh0099,NajeraM,Cielo,1882,Mexico,heterodiegetic,novela sentimental,novela modernista,novela,33182
nh0102,VillaverdeC,DosAmores,1858,Cuba,heterodiegetic,novela sentimental,novela romántica,novela,53230
nh0103,ZamacoisN,MendigoSanAngel,1865,Mexico,heterodiegetic,other,unknown,novela,330876
nh0104,CastilloFM,HermanaAngeles,1854,Mexico,heterodiegetic,novela sentimental,novela romántica,none,29672
nh0115,GomezAvellanedaG,Guatimozin,1846,Cuba,heterodiegetic,other,novela romántica,novela,130454
nh0119,MartiJ,Amistad,1885,Cuba,heterodiegetic,novela sentimental,novela modernista,novela,36093
nh0120,PaynoM,Fistol,1846,Mexico,heterodiegetic,other,novela romántica,novela,239353
nh0123,SylvaV,AsiSea,1893,Argentina,autodiegetic,novela sentimental,unknown,novela,57822
nh0128,PalmaPalmaE,HijaTutulXiu,1884,Mexico,heterodiegetic,other,unknown,novela,90415
nh0130,AguilarV,Otilia,1887,Argentina,heterodiegetic,novela sentimental,unknown,novela,68468
nh0131,CuellarJT,BaileCochino,1886,Mexico,heterodiegetic,other,novela romántica,novela,34925
nh0132,OteroR,CeciliaMatancera,1861,Cuba,heterodiegetic,novela sentimental,unknown,novela,60881
nh0135,ZambranaVazquezF,Francisco,1873,Cuba,heterodiegetic,other,novela realista,novela,36604
nh0136,AzuelaM,MariaLuisa,1907,Mexico,heterodiegetic,novela sentimental,novela naturalista,none,23358
nh0137,MalpicaLaBarcaD,Cafetal,1890,Cuba,homodiegetic,other,unknown,novela,96690
nh0139,RoblesP,Plateados,1891,Mexico,heterodiegetic,other,unknown,none,52286
nh0140,GomezAvellanedaG,DosMujeres,1843,Cuba,heterodiegetic,novela sentimental,novela romántica,none,82518
nh0143,OlavarriaFerrariE,VenganzaRemordimiento,1869,Mexico,heterodiegetic,other,novela romántica,novela,151801
nh0145,CasteraP,DramasCorazon,1890,Mexico,heterodiegetic,novela sentimental,novela romántica,none,42858
