idno,la_mañana,la_tarde,la_noche,anoche,esta_tarde,esta_mañana,esta_noche,siguiente_mañana,siguiente_noche,pasada_noche,el_mediodía,la_madrugada,pasado_mañana,esta_mañana_misma,última_noche,la_mañana_del_viernes,la_medianoche,las_12_de_la_noche,estas_noches,presente_mañana,la_noche_del_jueves,las_4_de_la_tarde,esta_madrugada,las_11_de_la_noche,el_mañana,pasado_noches,las_5_de_la_mañana,próxima_tarde,esta_noche_misma,cerca_de_las_12_de_la_noche,últimas_tardes,la_noche_del_viernes,la_tarde_del_sábado,noche_del_miércoles,próxima_madrugada,esta_madrugada_misma,últimas_noches,próxima_noche,esta_tarde_misma,las_9_de_la_mañana,las_5_de_la_tarde,las_2_de_la_tarde,la_mañana_del_lunes_próximo,la_mañana_del_domingo_siguiente,la_tardes,la_noche_del_lunes_pasado,la_noche_del_lunes,la_noche_del_sábado,siguiente_madrugada,próxima_mañana,la_noche_del_último_miércoles,la_noches,las_9_de_la_noche,estas_tardes,última_tarde,las_11_de_la_mañana,las_8_de_la_mañana,siguiente_tarde,la_noche_del_miércoles,las_6_de_la_tarde,las_2_de_la_mañana,las_3_de_la_tarde,cerca_de_las_2_de_la_mañana,pasado_noche,la_tarde_del_jueves,noche_del_jueves,la_noche_del_domingo,las_10_de_la_noche,la_tarde_del_domingo_anterior,la_noche_del_próximo_lunes,la_tarde_del_viernes,pasada_tarde,las_3_de_la_mañana,última_mañana,la_mañana_del_domingo,la_mañana_del_lunes,las_7_de_la_mañana,la_mañana_del_miércoles,la_mañana_del_jueves,que_viene_mañana,la_mañana_del_sábado,la_tarde_del_domingo,la_mañana_del_martes,anterior_noche,la_mañana_del_lunes_posterior,las_8_de_la_noche
nh0001,11,7,21,1,0,2,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nh0002,9,10,18,1,0,0,4,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nh0003,7,5,7,1,0,1,3,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nh0004,2,4,7,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nh0005,2,1,7,0,0,0,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nh0006,15,9,35,6,1,1,7,0,0,0,0,1,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nh0007,8,11,21,5,0,5,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nh0008,11,9,23,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nh0009,3,10,52,1,0,0,3,0,1,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nh0010,11,8,29,2,0,0,4,1,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nh0011,4,6,21,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
