idno,tpx_all,DATE,TIME,DURATION,SET,PRESENT_REF,FUTURE_REF,PAST_REF,SP,SU,FA,WI,MO,MI,AF,NI,DATE_century,DATE_decade,DATE_year,DATE_month,DATE_day,DATE_spec_none,DATE_spec_year,DATE_spec_year_month,DATE_spec_month,DATE_spec_day,DATE_spec_month_day,DATE_spec_any,DATE_spec_full,TIME_daytime,TIME_hour,DURATION_century,DURATION_decade,DURATION_year,DURATION_month,DURATION_week,DURATION_day,DURATION_hour,DURATION_minute,SET_century,SET_year,SET_month,SET_week,SET_day,SET_daytime,VERB_present,VERB_imperfect,VERB_future,VERB_past,VERB_conditional,ahora,pronto,hoy,mañana,el_día,ayer,al_día_siguiente,del_día,julio,este_momento,próximo,próxima,domingo,ahora_mismo,actual,el_año,el_día_siguiente,invierno,estos_momentos,hoy_mismo,domingos,al_siguiente_día,reciente,la_primavera,primavera,la_semana,mañana_mismo,del_año,próximos,mayo,el_día_anterior,el_domingo,próximas,actualmente,el_mismo_día,verano,estos_días,el_invierno,del_siglo,del_día_siguiente,este_día,el_sábado,diciembre,el_futuro,abril,los_veinte,recientemente,medio_día,ese_mismo_día,octubre,la_noche,la_mañana,la_tarde,esta_noche,anoche,la_madrugada,esta_mañana,esta_tarde,pasado_mañana,última_noche,el_mediodía,esta_noche_misma,el_mañana,la_medianoche,estas_noches,siguiente_mañana,siguiente_noche,esta_madrugada,pasada_noche,la_mañana_del_domingo,la_noche_del_viernes,la_noche_del_domingo,las_9_de_la_mañana,última_tarde,la_tarde_del_domingo,esta_tarde_misma,la_noche_del_lunes,siguiente_madrugada,las_9_de_la_noche,estas_tardes,las_4_de_la_tarde,la_noche_del_jueves,esta_mañana_misma,la_mañana_del_viernes,las_11_de_la_mañana,la_tarde_del_sábado,próxima_madrugada,últimas_noches,próxima_noche,pasado_noche,las_5_de_la_tarde,la_tarde_del_viernes,la_mañana_del_sábado,las_11_de_la_noche,las_3_de_la_tarde,la_noche_del_sábado,las_12_de_la_noche,las_6_de_la_tarde,la_noches,presente_mañana,un_día,años,una_hora,tres_días,algunos_días,dos_horas,pocos_días,un_año,todo_el_día,dos_días,muchos_años,un_mes,dos_años,veinte_años,algunos_minutos,algunas_horas,un_minuto,diez_años,ocho_días,dos_meses,quince_días,una_semana,muchos_días,cinco_minutos,tres_años,dos,algunos_años,seis_años,tres_meses,seis_meses,cinco_años,algunos_meses,diez_minutos,pocas_horas,cuatro_días,ocho_años,cuatro_años,quince_años,unos_días,treinta_años,los_pocos_días,tres_horas,pocos_años,pocos_minutos,siete_años,dos_minutos,tres,muchas_horas,un_siglo,pocos_meses,cada_día,todos_los_días,diariamente,todas_las_noches,diario,diaria,todas_las_mañanas,todas_las_tardes,al_día,diarias,diarios,cada_mes,cada_año,mensuales,al_mes,al_año,al_mediodía,cada_semana,cada_noche,mensual,anuales,todos_los_años,todos_los_domingos,anual,anualmente,todos_los_sábados,cada_ocho_días,cada_mañana,dos_veces_al_día,dos_veces_por_semana,mensualmente,todos_los_meses,todas_las_semanas,todos_los_siglos,una_vez_por_semana,semanal,al_siglo,cada_domingo,una_vez_al_año,dos_veces_a_la_semana,semanalmente,cada_quince_días,cada_tarde,cada_dos_meses,todos_los_jueves,cada_sábado,todos_los_viernes,una_vez_al_día,cada_dos_días,todos_los_lunes
nh0001,194,99,49,33,13,41,16,0,0,0,0,1,20,1,7,23,0,1,1,3,35,82,4,2,0,1,0,17,10,31,0,0,0,8,3,4,7,7,3,0,0,1,0,10,2,1392,1442,130,1172,49,19,15,11,9,8,6,0,2,0,0,1,0,2,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,11,7,1,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,2,2,3,0,1,0,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nh0002,534,300,45,163,26,143,66,1,5,5,0,3,12,0,11,30,1,3,14,20,51,292,5,0,3,0,0,8,0,45,0,1,0,71,12,4,49,11,15,1,1,1,2,13,8,3869,4025,399,2477,377,72,53,35,19,9,2,9,1,0,2,4,5,3,5,4,1,2,2,4,3,2,0,1,3,2,1,1,0,0,1,0,2,2,0,0,3,2,1,1,2,0,0,0,2,0,3,0,0,0,0,18,9,10,4,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,22,3,2,0,5,4,6,3,6,7,0,1,3,0,1,6,2,0,2,5,2,1,3,0,1,3,0,2,1,1,1,1,0,2,1,0,2,1,1,0,0,4,1,0,2,0,0,1,2,5,6,1,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
nh0003,120,48,27,41,4,17,5,0,0,0,1,1,9,0,5,12,0,2,2,4,18,43,3,0,2,0,0,5,0,26,1,0,0,24,2,0,10,4,1,0,1,2,0,1,0,719,767,76,609,25,7,4,6,13,2,0,2,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,7,5,3,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,1,3,1,0,0,2,1,1,0,0,1,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nh0004,124,70,17,32,5,36,8,0,0,2,0,0,5,0,4,8,1,0,8,5,12,47,11,3,0,0,0,23,9,6,0,0,0,9,5,3,11,4,0,0,0,0,0,5,0,766,753,123,707,75,16,5,9,3,4,0,3,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,2,4,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,2,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nh0005,120,68,19,25,8,31,13,0,0,0,0,6,5,0,1,14,1,0,9,7,7,64,1,0,0,2,1,4,0,19,0,0,0,15,2,0,5,2,1,0,1,0,0,6,1,681,684,55,465,38,9,10,12,1,3,0,3,3,0,0,2,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,7,2,1,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nh0006,400,240,81,74,5,87,41,0,5,2,1,10,21,0,10,49,3,1,11,33,63,131,30,14,1,0,0,109,64,0,0,0,0,12,4,2,36,16,4,0,0,0,0,5,0,2632,1975,261,1393,160,35,27,36,20,4,8,12,1,0,6,9,4,1,3,0,2,0,3,0,1,0,0,0,3,2,0,0,1,1,0,3,0,0,1,1,0,0,4,0,0,0,0,5,0,0,0,0,0,1,1,35,15,9,7,6,1,1,1,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,5,4,4,4,7,1,0,3,0,0,0,0,1,3,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,3,1,3,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nh0007,318,177,56,63,22,96,23,0,0,2,1,0,17,0,13,32,0,0,9,7,41,160,12,4,0,0,0,16,0,56,0,0,0,15,5,1,29,11,2,0,0,1,1,14,6,2141,2163,189,1283,175,58,16,20,24,4,8,1,4,0,2,2,4,0,2,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,21,8,11,2,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,1,1,1,0,5,1,5,1,2,0,0,2,2,4,0,0,0,0,0,1,1,0,2,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,2,6,2,4,0,0,0,2,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nh0008,277,141,50,73,13,49,22,0,1,0,1,7,12,0,9,31,0,1,8,15,43,135,1,0,5,0,0,6,0,50,0,0,0,32,6,2,19,7,6,0,0,2,0,8,2,1290,2178,145,1189,111,8,18,14,17,11,1,3,9,1,1,0,3,7,1,0,0,1,4,3,0,3,0,0,0,1,3,0,4,1,0,0,2,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,1,23,11,9,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,1,0,1,3,4,1,0,2,0,6,2,2,0,1,2,0,0,0,1,2,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nh0009,405,220,81,99,5,91,79,0,0,0,0,0,13,0,10,60,0,1,0,5,44,214,1,0,5,0,0,6,0,81,0,0,0,13,10,7,54,5,10,0,0,1,0,2,2,2747,5442,296,2192,375,46,72,9,14,19,4,10,2,5,3,3,2,0,7,1,0,4,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,2,1,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,52,3,10,3,1,10,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,6,1,0,3,3,1,7,0,2,2,1,0,1,2,0,4,2,4,7,1,1,0,2,0,1,0,1,1,0,2,0,2,0,0,0,2,0,2,0,0,2,0,1,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nh0010,582,369,60,130,23,143,47,1,0,2,0,0,14,0,8,36,2,1,1,5,166,365,1,0,2,0,0,3,0,58,2,0,0,28,8,5,56,20,12,0,0,1,1,20,0,2778,4744,302,3000,175,72,41,39,22,10,5,2,6,0,6,6,0,112,2,2,0,11,0,1,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,2,4,0,0,3,0,0,0,0,0,0,0,0,0,0,29,11,8,4,2,2,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,3,5,2,2,0,5,1,0,0,0,0,3,3,0,1,0,2,1,3,6,3,1,5,4,0,0,3,0,0,1,7,1,0,0,1,1,3,0,1,0,3,0,0,0,1,0,0,1,10,4,0,0,2,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
